st1,st2,st3,st4,st5,st6,st7
7377,4180,9069,14151,11437,13710,6257
7441,4086,9483,12812,11425,13360,6152
7342,4321,9580,14073,11662,13758,6349
7531,4215,9431,13233,11320,13456,6332
7406,4124,9055,14063,11449,13648,6408
7249,3976,9554,14036,11237,13336,6282
7396,3968,9311,13327,11219,13728,6171
7534,4289,9433,13283,11332,13430,6486
7231,4055,8984,13180,11150,13766,6027
7464,4231,9070,13070,11003,13623,6305
7368,4376,8941,12888,11487,13655,6052
7247,4043,9273,13900,11479,13512,6096
7154,4243,9185,13882,11455,13268,6460
7553,3957,8908,13463,11617,13242,6102
7303,4094,9099,14156,11152,13110,6180
7137,4031,9302,13895,11369,13348,6313
7369,4389,9377,13659,11284,13774,6358
7292,4109,9026,13202,11341,13393,6218
7558,4047,9044,12934,11582,13500,6149
7134,3964,9125,13884,11631,13521,6051
7111,4216,9073,12818,11699,13750,6094
7589,4304,9060,13867,11208,13594,6326
7451,4323,9505,12809,11307,13505,6308
7479,4171,9025,13635,11700,13347,6489
7459,4326,9588,12720,11063,13528,6441
7562,3917,8994,13535,11570,13187,6150
7374,4111,9036,12632,11087,13697,6385
7488,3928,9054,13525,11065,13441,6008
7600,4373,8944,13508,11515,13297,6343
7506,4036,9210,14090,11132,13288,6073

