st1,st2,st3,st4,st5,st6,st7
4319,3788,5648,6578,5152,6579,5488
4503,3353,6073,6755,5280,5839,5118
4394,3612,5553,6516,5052,5770,5190
4385,3898,5606,6912,4932,5877,5149
4252,3508,5603,6287,4877,5687,5532
4370,3447,5562,6305,4963,5746,4987
4186,3473,5719,6362,5020,5962,5069
4301,3523,5650,6570,4933,5852,5185
4436,3599,5739,6649,5371,5907,5070
4325,3807,5866,6418,4937,5910,4997
4198,3585,6010,6502,4903,6027,5101
4201,3580,5543,6527,5226,5813,5186
4406,3490,6024,6750,5239,6188,4913
4263,3784,5580,6455,4998,5753,4935
4505,3533,5995,6292,5143,6089,5380
4569,3814,5616,6555,5253,5803,4930
4187,3749,6058,6407,4859,6180,5137
4477,3773,5791,6546,5078,6051,5005
4190,3888,5768,6223,4839,6182,5188
4112,3833,5849,6495,5093,5960,5358
4400,3491,5632,6630,4927,5905,4995
4376,3702,6084,6275,4808,5610,5174
4267,3791,5973,6489,5158,6007,5455
4420,3827,6063,6241,4876,5994,4915
4119,3632,6053,6655,4957,5720,5457
4361,3616,5933,6304,4843,6085,5278
4137,3409,5548,6378,4901,5831,5239
4156,3545,5636,6252,4968,5801,5415
4341,3405,5511,6762,5011,6151,5166
4274,3406,5656,6508,5400,5756,4920
